code,name,pe,pb,yield,market
2114,鑫永銓,15.19,2.16,5.69,TW
1730,花仙子,11.43,1.55,5.67,TW
2248,華勝-KY,10.46,1.56,5.66,TW
2618,長榮航,7.31,1.38,5.65,TW
4440,宜新實業,15.53,0.9,5.65,TW
2607,榮運,8.86,0.84,5.63,TW
2105,正新,21.33,1.19,5.63,TW
2903,遠百,14.26,1.01,5.62,TW
1731,美吾華,15.99,1.34,5.61,TW
9939,宏全,12.14,1.63,5.61,TW
2505,國揚,7.53,0.62,5.6,TW
3622,洋華,9.38,1.11,5.6,TW
2013,中鋼構,13.3,1.48,5.59,TW
2115,六暉-KY,13.58,0.69,5.59,TW
3052,夆典,9.77,0.62,5.58,TW
6189,豐藝,17.71,2.05,5.58,TW
6957,裕慶-KY,15.84,3.36,5.56,TW
2850,新產,10.71,2.0,5.53,TW
5203,訊連,17.81,1.08,5.52,TW
2385,群光,14.48,2.15,5.5,TW
2608,嘉里大榮,15.23,1.12,5.5,TW
3029,零壹,14.71,3.29,5.5,TW
6005,群益證,11.8,1.48,5.49,TW
1615,大山,9.46,2.03,5.49,TW
1558,伸興,16.13,1.14,5.48,TW
4746,台耀,14.93,0.85,5.47,TW
1475,業旺,10.07,1.16,5.47,TW
4441,振大環球,14.5,1.94,5.47,TW
9917,中保科,16.77,3.7,5.46,TW
6914,阜爾運通,15.26,2.63,5.46,TW
2520,冠德,11.28,0.72,5.43,TW
3705,永信,16.74,1.81,5.42,TW
1709,和益,15.04,0.99,5.41,TW
2420,新巨,14.19,2.13,5.41,TW
8467,波力-KY,12.86,2.28,5.39,TW
2812,台中銀,13.13,1.29,5.38,TW
3596,智易,13.24,2.35,5.37,TW
1409,新纖,14.0,0.65,5.36,TW
2820,華票,12.57,0.81,5.34,TW
1707,葡萄王,13.69,1.61,5.33,TW
6924,榮惠-KY創,16.38,3.37,5.32,TW
2855,統一證,13.23,1.62,5.31,TW
8473,山林水,13.88,0.94,5.31,TW
2480,敦陽科,17.52,5.24,5.31,TW
4536,拓凱,10.12,1.46,5.3,TW
8341,日友,16.06,1.92,5.3,TW
2069,運錩,11.67,0.76,5.29,TW
6592,和潤企業,13.36,1.17,5.29,TW
8454,富邦媒,18.03,4.84,5.29,TW
2015,豐興,15.74,1.71,5.28,TW
4942,嘉彰,12.39,0.59,5.28,TW
2107,厚生,15.87,0.6,5.28,TW
1808,潤隆,19.45,1.97,5.28,TW
5871,中租-KY,10.76,1.17,5.24,TW
2450,神腦,19.41,1.26,5.22,TW
9931,欣高,14.08,1.26,5.22,TW
1734,杏輝,16.02,1.7,5.2,TW
6776,展碁國際,14.38,2.0,5.19,TW
9905,大華,16.31,0.79,5.19,TW
3257,虹冠電,15.82,2.44,5.18,TW
2206,三陽工業,9.95,1.71,5.18,TW
5525,順天,16.54,1.28,5.18,TW
5007,三星,19.21,2.38,5.17,TW
8926,台汽電,19.08,2.16,5.16,TW
2838,聯邦銀,15.34,1.09,5.16,TW
3038,全台,20.99,1.33,5.15,TW
2897,王道銀行,16.83,0.69,5.15,TW
2845,遠東銀,14.24,0.85,5.14,TW
3617,碩天,13.48,1.91,5.13,TW
5215,科嘉-KY,19.19,0.71,5.11,TW
2501,國建,8.3,0.89,5.11,TW
6585,鼎基,18.02,1.72,5.1,TW
2453,凌群,17.63,2.46,5.09,TW
3034,聯詠,18.57,3.83,5.08,TW
1215,卜蜂,13.28,3.27,5.07,TW
3025,星通,18.41,4.07,5.04,TW
1416,廣豐,13.95,0.48,5.04,TW
1783,和康生,13.15,2.19,5.04,TW
2617,台航,9.0,0.68,5.03,TW
3703,欣陸,11.61,0.62,5.02,TW
2347,聯強,14.59,1.78,5.01,TW
9904,寶成,6.33,0.54,5.01,TW
2362,藍天,19.39,0.53,5.01,TW
8462,柏文,17.56,4.95,5.0,TW
6605,帝寶,9.31,1.08,5.0,TW
9914,美利達,13.99,0.86,4.99,TW
2816,旺旺保,6.45,0.83,4.99,TW
3708,上緯投控,3.22,0.8,4.98,TW
4588,玖鼎電力,18.84,2.79,4.98,TW
2228,劍麟,17.27,1.44,4.97,TW
6534,正瀚-創,21.46,3.7,4.96,TW
6722,輝創,13.9,1.44,4.96,TW
7736,虎山,15.49,1.6,4.95,TW
9925,新保,17.05,1.19,4.95,TW
7705,三商餐飲,16.88,1.38,4.94,TW
2474,可成,16.94,0.85,4.93,TW
2458,義隆,16.88,4.0,4.91,TW
1720,生達,11.79,1.79,4.9,TW
6277,宏正,23.21,1.77,4.9,TW
8464,億豐,14.81,3.51,4.89,TW
1726,永記,13.82,1.18,4.87,TW
1232,大統益,17.11,3.77,4.86,TW
4766,南寶,18.32,3.24,4.85,TW
3033,威健,16.31,1.94,4.85,TW
6581,鋼聯,18.07,3.03,4.84,TW
6666,羅麗芬-KY,17.09,1.15,4.84,TW
1402,遠東新,17.81,0.61,4.81,TW
4961,天鈺,19.3,1.09,4.8,TW
6214,精誠,15.84,1.87,4.8,TW
1229,聯華,16.23,1.3,4.8,TW
1752,南光,13.84,1.36,4.78,TW
2801,彰銀,13.84,1.12,4.78,TW
6192,巨路,12.08,1.55,4.77,TW
5538,東明-KY,10.43,0.85,4.76,TW
4938,和碩,15.7,1.09,4.74,TW
1540,喬福,19.05,1.22,4.73,TW
6206,飛捷,16.96,3.23,4.7,TW
1234,黑松,17.63,0.75,4.68,TW
6409,旭隼,19.68,7.25,4.68,TW
5306,桂盟,10.48,1.14,4.67,TW
9945,潤泰新,6.24,0.66,4.66,TW
2250,IKKA-KY,16.84,1.11,4.65,TW
3022,威強電,16.26,1.19,4.65,TW
1227,佳格,21.69,1.41,4.64,TW
5876,上海商銀,12.68,0.92,4.64,TW
2379,瑞昱,18.83,5.32,4.64,TW
2353,宏碁,22.3,1.12,4.63,TW
1524,耿鼎,15.51,1.66,4.63,TW
2439,美律,17.58,1.29,4.62,TW
1733,五鼎,17.33,1.51,4.6,TW
2364,倫飛,15.55,4.07,4.59,TW
6994,富威電力,10.46,1.85,4.59,TW
3706,神達,16.97,1.69,4.58,TW
2887,台新新光金,16.9,1.3,4.58,TW
5880,合庫金,16.91,1.29,4.57,TW
3209,全科,18.17,2.43,4.57,TW
6525,捷敏-KY,18.04,3.22,4.57,TW
2637,慧洋-KY,14.57,1.19,4.56,TW
2910,統領,18.58,1.45,4.55,TW
2382,廣達,17.69,5.44,4.53,TW
3056,富華新,12.66,0.74,4.5,TW
4106,雃博,18.5,0.89,4.5,TW
2881,富邦金,12.19,1.5,4.5,TW
1525,江申,19.41,0.91,4.49,TW
1476,儒鴻,16.67,3.1,4.48,TW
3515,華擎,15.55,2.7,4.46,TW
2891,中信金,14.05,2.19,4.45,TW
2883,凱基金,13.86,1.27,4.45,TW
1737,臺鹽,15.78,0.93,4.44,TW
6936,永鴻生技,19.27,1.84,4.43,TW
2882,國泰金,11.95,1.38,4.43,TW
2613,中櫃,19.87,0.94,4.42,TW
2610,華航,7.69,1.16,4.41,TW
2886,兆豐金,16.8,1.5,4.41,TW
2904,匯僑,16.22,0.96,4.4,TW
6757,台灣虎航,10.28,3.47,4.38,TW
1529,樂事綠能,22.62,1.95,4.38,TW
8112,至上,17.92,2.51,4.37,TW
2884,玉山金,15.14,1.9,4.36,TW
3045,台灣大,23.06,3.86,4.36,TW
2633,台灣高鐵,21.78,1.98,4.36,TW
2880,華南金,17.53,1.96,4.35,TW
2915,潤泰全,4.82,0.45,4.34,TW
7821,神數,15.4,2.32,4.34,TW
8016,矽創,18.0,2.57,4.33,TW
2748,雲品,18.69,1.41,4.32,TW
1216,統一,18.76,2.72,4.32,TW
2606,裕民,12.5,1.36,4.3,TW
1618,合機,9.43,1.16,4.28,TW
